timestamp,round_id,id,user,bet
1747030512.9466126,32467538,35,13,203553.93
1747030512.9466126,32467538,17,77,96077.46
1747030512.9466126,32467538,27,61,75807.42
1747030512.9466126,32467538,16,55,52839.21
1747030512.9466126,32467538,11,59,31745.9
1747030512.9466126,32467538,23,13,24653.97
1747030512.9466126,32467538,18,23,19026.32
1747030512.9466126,32467538,12,23,16976.73
1747030512.9466126,32467538,40,13,14346.71
1747030512.9466126,32467538,4,93,14234.13
1747030512.9466126,32467538,20,51,13941.6
1747030512.9466126,32467538,29,09,12466.19
1747030512.9466126,32467538,21,25,11340.92
1747030512.9466126,32467538,33,23,10821.56
1747030512.9466126,32467538,3,77,10174.97
1747030512.9466126,32467538,10,95,9564.47
1747030512.9466126,32467538,7,23,8808.49
1747030512.9466126,32467538,13,41,8649.13
1747030512.9466126,32467538,38,49,7132.2
1747030512.9466126,32467538,37,89,6977.5
1747030512.9466126,32467538,30,25,6410.54
1747030512.9466126,32467538,36,81,6104.98
1747030512.9466126,32467538,24,51,6000
1747030512.9466126,32467538,5,53,5535.19
1747030512.9466126,32467538,31,89,5169.13
1747030512.9466126,32467538,6,61,4565.55
1747030512.9466126,32467538,2,77,4406.6
1747030512.9466126,32467538,32,89,4403.27
1747030512.9466126,32467538,25,13,4213.31
1747030512.9466126,32467538,8,27,4070.18
1747030513.9171047,32467538,50,45,674236.12
1747030513.9171047,32467538,41,65,50000
1747030513.9171047,32467538,53,21,20350.9
1747030513.9171047,32467538,52,01,15266.55
1747030513.9171047,32467538,47,13,9489.42
1747030513.9171047,32467538,49,13,8381.5
1747030513.9171047,32467538,45,61,6633.43
1747030513.9171047,32467538,42,93,6410.23
1747030513.9171047,32467538,51,59,6231.85
1747030513.9171047,32467538,48,43,2036.13
1747030513.9171047,32467538,43,27,2035.09
1747030514.9284127,32467538,70,75,193324.36
1747030514.9284127,32467538,63,73,101749.67
1747030514.9284127,32467538,54,97,99709.53
1747030514.9284127,32467538,58,71,12210.54
1747030514.9284127,32467538,69,65,9668.82
1747030514.9284127,32467538,64,59,5087.49
1747030514.9284127,32467538,68,39,4626.14
1747030514.9284127,32467538,71,93,4069.99
1747030514.9284127,32467538,65,91,3561.41
1747030515.97812,32467538,74,71,30533.09
1747030515.97812,32467538,82,63,20350.9
1747030515.97812,32467538,76,39,20349.94
1747030515.97812,32467538,73,65,15161.42
1747030515.97812,32467538,85,59,10174.97
1747030515.97812,32467538,90,77,10174.97
1747030515.97812,32467538,77,33,8546.98
1747030515.97812,32467538,92,79,7122.48
1747030515.97812,32467538,78,43,6163.5
1747030515.97812,32467538,72,89,4985.48
1747030516.980132,32467538,99,73,57440.25
1747030516.980132,32467538,97,11,40699.87
1747030516.980132,32467538,106,43,20999.72
1747030516.980132,32467538,100,05,16381.7
1747030516.980132,32467538,102,29,15364.93
1747030516.980132,32467538,94,63,11718.22
1747030516.980132,32467538,105,53,8973.86
1747030516.980132,32467538,96,21,7008.09
1747030517.9845273,32467538,110,01,151824.72
1747030517.9845273,32467538,109,77,69230.95
1747030517.9845273,32467538,113,61,20368.35
1747030517.9845273,32467538,121,85,15199.36
1747030517.9845273,32467538,111,59,12463.7
1747030517.9845273,32467538,120,01,10751.86
1747030517.9845273,32467538,118,09,9970.96
1747030518.9867818,32467538,126,29,91310.97
1747030518.9867818,32467538,122,13,10175.45
