timestamp,round_id,id,user,bet
1747030487.4896674,32467506,27,45,495543.23
1747030487.4896674,32467506,2,15,209997.15
1747030487.4896674,32467506,3,13,203553.93
1747030487.4896674,32467506,37,75,193324.36
1747030487.4896674,32467506,45,97,124636.92
1747030487.4896674,32467506,98,77,122132.36
1747030487.4896674,32467506,56,13,109312.71
1747030487.4896674,32467506,96,77,104895.38
1747030487.4896674,32467506,9,73,101749.67
1747030487.4896674,32467506,62,55,92468.62
1747030487.4896674,32467506,100,71,92002.05
1747030487.4896674,32467506,82,61,87134.97
1747030487.4896674,32467506,24,75,75911.61
1747030487.4896674,32467506,79,17,74782.15
1747030487.4896674,32467506,101,61,67470.15
1747030487.4896674,32467506,69,73,54630.67
1747030487.4896674,32467506,10,13,45655.49
1747030487.4896674,32467506,97,43,40722.51
1747030487.4896674,32467506,54,59,40699.87
1747030487.4896674,32467506,70,71,30533.09
1747030487.4896674,32467506,78,63,29918.86
1747030487.4896674,32467506,59,99,27062.41
1747030487.4896674,32467506,105,35,22827.75
1747030487.4896674,32467506,50,43,20999.72
1747030487.4896674,32467506,16,41,18504.54
1747030487.4896674,32467506,20,89,16435.98
1747030487.4896674,32467506,31,53,16279.95
1747030487.4896674,32467506,43,09,14959.43
1747030487.4896674,32467506,93,29,14245.63
1747030487.4896674,32467506,29,93,14234.13
1747031792.9962518,32470109,4,69,317521.18
1747031792.9962518,32470109,143,29,284682.49
1747031792.9962518,32470109,107,29,127590.63
1747031792.9962518,32470109,109,13,91310.97
1747031792.9962518,32470109,146,89,71224.77
1747031792.9962518,32470109,52,23,63651.09
1747031792.9962518,32470109,18,75,62222.5
1747031792.9962518,32470109,29,57,54944.82
1747031792.9962518,32470109,36,49,46444.15
1747031792.9962518,32470109,105,39,40707.85
1747031792.9962518,32470109,54,19,36151.95
1747031792.9962518,32470109,133,17,34601.67
1747031792.9962518,32470109,111,31,31958.84
1747031792.9962518,32470109,118,29,27393.3
1747031792.9962518,32470109,159,73,25437.42
1747031792.9962518,32470109,22,59,24974.43
1747031792.9962518,32470109,8,87,24653.97
1747031792.9962518,32470109,31,15,22021.21
1747031792.9962518,32470109,101,27,20994.41
1747031792.9962518,32470109,78,29,20353.93
1747031792.9962518,32470109,79,11,20353.93
1747031792.9962518,32470109,120,15,20353.93
1747031792.9962518,32470109,128,11,20353.93
1747031792.9962518,32470109,61,37,20349.94
1747031792.9962518,32470109,45,41,18262.2
1747031792.9962518,32470109,136,25,16280.72
1747031792.9962518,32470109,152,31,16279.95
1747031792.9962518,32470109,82,31,15414.85
1747031792.9962518,32470109,171,51,15262.45
1747031792.9962518,32470109,182,97,15183.07
