round_id,crash_point,total_bet,total_win,net_profit,avg_odds,num_bets,num_cashouts
32471693,3.38,4868180.720000002,3155211.9199999995,-1712968.8000000021,2.3150000000000004,79,16
32471716,6.14,9266521.510000002,3893069.3399999994,-5373452.170000002,2.3940740740740742,87,27
32541865,7.44,0,558368.46,558368.46,4.92,0,1
32541895,3.37,6840522.0,8391416.92,1550894.92,2.1635,115,20
32541943,4.3,4215092.43,7338948.34,3123855.91,2.3604,116,25
32541985,3.84,4351346.3100000005,5217168.950000001,865822.6400000006,2.182272727272727,119,22
32542028,13.09,7560973.190000003,14791115.949999997,7230142.759999994,3.301333333333333,122,30
32542071,1.81,5199334.270000001,292007.66000000003,-4907326.610000001,1.3250000000000002,109,2
32542136,1.96,3319342.250000001,687160.8999999999,-2632181.350000001,1.45,120,6
32542168,1.84,8296732.090000003,6277974.5,-2018757.5900000026,1.266,122,5
32542204,5.37,9136760.340000004,10968095.270000001,1831334.9299999978,2.0804347826086955,117,23
32542235,1.54,5429874.78,1843258.21,-3586616.5700000003,1.3133333333333332,120,3
32542285,1.97,4007483.3499999996,1932833.4699999997,-2074649.88,1.38,116,6
32542317,2.31,5645032.49,3627067.9599999995,-2017964.5300000007,1.655833333333333,119,12
32542341,2.18,8004346.209999997,6083054.959999999,-1921291.2499999981,1.4388888888888889,118,9
32542376,1.68,4777321.6,998376.21,-3778945.3899999997,1.4175,121,4
32542412,29.06,3955718.1400000006,10085581.66,6129863.52,3.492666666666666,115,30
32542442,1.18,4882472.199999999,0,-4882472.199999999,0,84,0
32542529,1.15,5310203.889999999,0,-5310203.889999999,0,121,0
32542561,1.12,5246670.339999998,0,-5246670.339999998,0,116,0
32542586,1.49,3808806.690000001,52800.0,-3756006.690000001,1.32,113,1
32542611,1.55,4403548.75,0,-4403548.75,0,117,0
32542638,1.86,4669496.969999999,1479963.26,-3189533.709999999,1.365,110,2
32542669,1.94,7426832.470000002,3930097.8600000003,-3496734.6100000013,1.52,113,9
32542704,4.03,6642748.950000002,9971398.499999998,3328649.549999996,2.2438095238095235,112,21
32542733,2.55,5764633.2700000005,3917737.1600000006,-1846896.1099999999,1.6866666666666665,116,9
32542771,11.31,5118550.760000001,10954212.53,5835661.769999999,2.915172413793104,114,29
32542805,1.01,4336921.629999999,0,-4336921.629999999,0,85,0
32542865,1.47,3018093.3,0,-3018093.3,0,120,0
32542883,1.53,6122010.099999998,4615679.56,-1506330.5399999982,1.2750000000000001,120,6
32542914,1.64,4118117.0599999987,1060120.25,-3057996.8099999987,1.29,108,1
32542942,1.17,4122243.9499999997,0,-4122243.9499999997,0,102,0
32542970,2.3,4347983.509999999,3459328.3699999996,-888655.1399999992,2.061,111,10
32543001,3.32,5636911.9799999995,4737590.37,-899321.6099999994,1.9364705882352942,119,17
32543034,3.53,7644183.210000002,9358977.200000001,1714793.9899999993,2.202105263157895,107,19
32543076,2.33,7333290.669999995,6655274.9799999995,-678015.6899999958,1.7627272727272727,110,11
32543117,3.33,4554026.879999998,5230723.95,676697.0700000022,2.008666666666666,108,15
32543153,1.01,5041168.699999998,0,-5041168.699999998,0,114,0
32543195,25.14,3514004.3899999997,9703355.09,6189350.7,3.9360000000000004,117,30
32543219,1.72,3228968.5600000015,920622.1000000001,-2308346.4600000014,1.32,93,4
32543295,2.18,3378294.0400000005,2053125.46,-1325168.5800000005,1.45,112,12
32543328,3.19,4238209.750000002,4469380.8,231171.04999999795,1.9894736842105265,117,19
32543361,2.93,4073974.359999999,3858732.79,-215241.5699999989,1.8038888888888889,107,18
32543400,4.46,4176536.949999999,5651906.9799999995,1475370.0300000007,2.1747619047619047,106,21
32543441,7.31,6981724.890000001,10594327.860000001,3612602.9700000007,2.359259259259259,99,27
32543480,1.93,5496413.8500000015,1140689.3,-4355724.550000002,1.4200000000000002,104,4
32543534,1.07,4673784.11,0,-4673784.11,0,117,0
32543568,4.23,3312759.8899999987,4626066.74,1313306.8500000015,2.31125,115,24
32543588,1.13,5887430.689999999,0,-5887430.689999999,0,99,0
32543636,1.68,3696015.98,114458.64,-3581557.34,1.59,118,1
32543663,25.02,5051794.620000002,9468648.109999998,4416853.489999996,2.914,114,30
32543693,23.71,4439222.509999999,8708673.690000001,4269451.1800000025,3.3493333333333326,90,30
32543778,2.89,4516270.57,3607499.0300000007,-908771.5399999996,1.9114285714285713,81,7
32543860,1.87,4669748.109999998,2128389.43,-2541358.6799999974,1.2575,114,4
32543898,1.24,6703860.89,0,-6703860.89,0,109,0
32543929,4.14,7387616.300000002,9842924.330000002,2455308.0300000003,2.3856,110,25
