timestamp,round_id,crash_point
1747069616.560763,32542376,1.68
1747069660.634376,32542412,29.06
1747069673.8503418,32542442,1.18
1747069686.8747325,32542529,1.15
1747069699.645939,32542561,1.12
1747069714.6440773,32542586,1.49
1747069729.9134715,32542611,1.55
1747069746.3532774,32542638,1.86
1747069763.0679457,32542669,1.94
1747069784.631067,32542704,4.03
1747069803.0504901,32542733,2.55
1747069833.9315753,32542771,11.31
1747069845.103306,32542805,1.01
1747069860.016541,32542865,1.47
1747069875.179705,32542883,1.53
1747069890.7955081,32542914,1.64
1747069903.9573364,32542942,1.17
1747069921.756404,32542970,2.3
1747069941.9506917,32543001,3.32
1747069962.5677896,32543034,3.53
1747069980.4472182,32543076,2.33
1747070000.7250319,32543117,3.33
1747070011.9041922,32543153,1.01
1747070053.5477114,32543195,25.14
1747070069.4504378,32543219,1.72
1747070086.8968582,32543295,2.18
1747070106.8107438,32543328,3.19
1747070126.1439881,32543361,2.93
1747070148.5484936,32543400,4.46
1747070174.9826934,32543441,7.31
1747070191.6139188,32543480,1.93
1747070203.8592062,32543534,1.07
1747070225.8716977,32543568,4.23
1747070238.695028,32543588,1.13
1747070254.4970253,32543636,1.68
1747070296.088691,32543663,25.02
1747070336.794212,32543693,23.71
1747070356.02361,32543778,2.89
1747070372.4726727,32543860,1.87
1747070386.1450188,32543898,1.24
1747070407.9150996,32543929,4.14
1747070424.9043584,32543955,2.04
1747070466.883162,32543998,25.68
1747070478.9778368,32544028,1.06
1747070491.6850739,32544113,1.11
1747070531.4997544,32544132,22.35
1747070547.0956411,32544156,1.64
1747070569.7877824,32544239,4.67
1747070585.1424882,32544271,1.58
1747070625.1469207,32544315,22.56
1747070647.7025156,32544344,4.59
1747070658.2367578,32544426,1
1747070680.334565,32544475,4.31
1747070694.219286,32544490,1.28
1747070706.7318974,32544525,1.09
1747070732.4471838,32544556,6.72
1747070747.8645763,32544584,1.59
1747070778.4144146,32544628,10.96
1747070798.9563634,32544657,3.45
1747070812.2576265,32544722,1.19
1747070857.315772,32544752,30.67
1747070895.3102531,32544784,19.85
1747070908.6867983,32544872,1.2
1747070922.1963103,32544946,1.21
1747070936.6774461,32544970,1.38
1747070954.3501,32544996,2.26
1747070971.4612987,32545025,2.07
1747070982.9250247,32545066,1.02
1747071000.3182375,32545090,2.16
1747071010.9620743,32545115,1
1747071034.4779437,32545148,5.18
1747071050.6904647,32545175,1.8
1747071071.9429593,32545219,3.84
1747071086.8335435,32545249,1.47
1747071113.2618876,32545287,7.27
1747071131.1593068,32545316,2.35
1747071142.369844,32545368,1.01
1747071164.4697003,32545405,4.31
1747071187.5410583,32545421,4.91
1747071208.242896,32545469,3.57
1747071234.5716918,32545514,7.21
1747071251.6145616,32545557,2.05
1747071274.0305173,32545607,4.51
1747071306.4407957,32545638,12.95
1747071321.0781922,32545675,1.42
1747071339.5643966,32545746,2.55
1747071361.4533277,32545775,4.21
1747071376.9476063,32545810,1.61
1747071412.0007598,32545857,15.96
1747071426.1490936,32545886,1.32
1747071442.8223114,32545956,1.92
1747071460.6730294,32545980,2.32
1747071472.140755,32546014,1.02
1747071489.243898,32546049,2.04
1747071506.9341006,32546072,2.26
1747071524.8935447,32546105,2.36
1747071546.478337,32546144,4.03
1747071564.3254628,32546177,2.33
1747071580.104691,32546218,1.68
1747071598.04569,32546252,2.33
1747071610.8944066,32546286,1.13
1747071627.8153992,32546320,2
1747071646.042829,32546347,2.47
1747071660.9436035,32546384,1.47
1747071686.433551,32546415,6.55
